VERIFICATION STATUS,ORGANIZATION,CATEGORY,EMAIL ,PHONE,ADDRESS,WEBSITE,Services Provided,Hours of Service,Comment,latitude,longitude
Verified,The Vocational and Skill Advancement Center (VOSAC) -- Adult Day Support Services,Family,cnicol@arcgpw.org,(703) 221-8787,"19143 Fuller Heights Road, Triangle, Virginia 22172",https://arcgpw.org/adult-day-support-services/,"The Vocational and Skill Advancement Center (VOSAC) is a high intensity, center-based day program for adults with intellectual and developmental disabilities. VOSAC offers community inclusion, activities of daily living, and social development for adults who require support. Through volunteer work and community service, program participants have the opportunity to become engaged citizens. Our three VOSAC sites support individuals with medical needs while still providing participants the opportunity to integrate within their community.",,,38.5353894,-77.3208398
Verified,The Robert Day Childcare Center,Family,dshipman@arcgpw.org,(703) 670-5060,"9208 Centreville Rd, Manassas, VA 20110",https://arcgpw.org/childcare-services/,"The Robert Day Childcare Center is located in Old Town Manassas. The center is open Monday through Friday from 6:30 a.m. until 6:00 p.m. Children from 2 1/2  to eighteen years of age enjoy therapeutic, recreational, and educational activities. Classrooms are arranged according to the child’s age and/or developmental level. Electronics, adaptive toys, and other special equipment are available for the children. Summer camps are available.",Monday through Friday from 6:30 a.m. until 6:00 p.m,"Children from 2 1/2  to eighteen years of age enjoy therapeutic, recreational, and educational activities.",38.7548104,-77.4671721
Verified,"The Muriel Humphrey
Childcare Center",Family,dshipman@arcgpw.org,(703) 670-5060,"13505 Hillendale Dr, Woodbridge, VA 22193",https://arcgpw.org/childcare-services/,"The Muriel Humphrey Center is located in Dale City. The center is open Monday through Friday from 6:00 a.m. until 6:30 p.m. Children from six weeks to eighteen years of age enjoy therapeutic, recreational, and educational activities. Classrooms are arranged according to the child’s age and/or developmental level. Electronics, adaptive toys, and other special equipment are available for the children. Summer camps are available.",Monday through Friday from 6:00 a.m. until 6:30 p.m,"Children from six weeks to eighteen years of age enjoy therapeutic, recreational, and educational activities.",38.657105,-77.33988840000000
Verified,Arc of Greater Prince William -- Recreational Services,Community and Recreation Centers,jocetnik@arcgpw.org,703-670-4800,"13505 Hillendale Drive, Woodbridge, VA 22193",https://arcgpw.org/recreational-services/,"The Arc’s Recreation Program offers a comprehensive social and recreational program for people with disabilities of all ages and abilities. The programs facilitate the development of leisure and recreation skills, socialization, independence, and overall enhancement of the quality of life.
All new individuals must set up an appointment with the Recreation Director prior to participation. Every participant must complete an Emergency/ Medical/ Information release form to register with the Recreation Program. This form must be updated each year.",,,38.657106,-77.33988840000000
Verified,Arc of Greater Prince William -- Residential Services,Housing Utilities Finances,ksmith@arcgpw.org,703-670-4800,"13505 Hillendale Drive, Woodbridge, VA 22193",https://arcgpw.org/residential-services/,"INSIGHT, Inc. the residential component of The Arc, offers adults with intellectual and developmental disabilities opportunities for personal growth and independence in a variety of supported living situations.
Community Residences (group homes) provide a family-like environment for adults to live together. Through a person-centered plan, each individual receives the needed support and supervision to successfully live in the community.

Supported Living offers a less structured environment for those adults capable of living semi-independently in the community who do not require 24 hour supervision. Individuals may live alone or with roommates in a house or apartment complex.

For a tour or to refer an individual to the program, please contact Karen Smith, Executive Director via email at ksmith@arcgpw.org or call the main office.",,,38.657104,-77.33988840000000
Verified,Area Agency on Aging (PWC),Family,pwaaa@pwcgov.org,(703) 792-6374,"5 County Complex Court, Suite 240, Prince William, VA, 22192",https://www.pwcva.gov/department/area-agency-aging,"The responsibilities of the Prince William Area Agency on Aging include: maintaining the independence and quality of life for adults and their families and advocating, educating, coordinating and implementing programs and services for older adults.",,,38.6806551,-77.35146410000000
Verified,BARN Community Housing,Housing Utilities Finances,,703-369-1325,"9541 Linton Hall Road, Bristow, VA 20136","http://www.barncommunityhousing.org/
",single mothers 19 years of age with a drivers license and up to five children under 12,,,38.7525202,-77.5648695
Verified,Beverly Warren Emergency Shelter,Housing Utilities Finances,,(703) 221-3186,"17866 Main Street. Dumfries, VA 22026;",https://www.pwcva.gov/department/social-services/homeless-and-winter-shelters,"This emergency shelter program is an 18-bed shelter for individual females and families. The program is operated by Action in Community Through Services (ACTS) in Dumfries, VA. Housing-focused case management is provided to all program participants with the key of focus of identifying next step permanent housing. To gather more information about services, please contact ACTS at (703) 221-3186. (TTY: 711)  Contact the CES Hotline at (703) 792-3366 (TTY: 711) to be assessed and referred to the program.",,,38.5649965,-77.3299755
Verified,"Bill Mehr Drop-In Center for the Homeless, Shelter",Housing Utilities Finances,,(703) 792-7648,"14716 Potomac Mills Road in Woodbridge, VA",https://www.facebook.com/MehrDropInCenter,"The Bill Mehr Drop-in Center (Drop-In Center) is operated by the Prince William County Department of Social Services in partnership with the Servants at Work (SAW). The Drop-In Center operates six days week on a rotating schedule and provides meals, showers, clothing, opportunities for spiritual/social interaction as well as assistance in meeting health, employment, education, and housing needs through referrals.

To help maintain social distancing, up to 10 participants are allowed into the center at one time. There is a waiting area outside that provides shelter from the outdoor elements that also is set up to maintain social distancing. Meals and self-serve laundry are available. Showers are available for those who were not at the Overnight Shelter. Persons with counseling or treatment needs are provided a room with a phone for virtual appointments. 

Ithe event that the temperature reaches 95 degrees or above the Drop-In Center hours will be extended to provide cool center services.","Sunday: Closed
Monday: 7:00 AM - 12:00 PM EST
Tuesday: 7:00 AM - 12:00 PM EST
Wednesday: 7:00 AM - 12:00 PM EST
Thursday: 7:00 AM - 12:00 PM EST
Friday: 7:00 AM - 12:00 PM EST
Saturday: 7:00 AM - 10:00 AM EST","Age Requirements:18 and over
Other Eligibility Criteria: Adults
Intake Process: Please call the Coordinated Entry System for any homeless resources. Call for more information.
Self Refer: Yes
Provider Refer: Yes",38.6307889,-77.29494060000000
Verified,Birchdale Recreation Center,Community and Recreation Centers,helloparks@pwcgov.org,(703) 792-7060,"14730 Birchdale Ave, Dale City, VA 22193",https://www.pwcva.gov/department/birchdale-community-center,"Located at the entrance of the Birchdale Community in Dale City, the Birchdale Center is a 2,500 sqft community center with meeting and event space available to rent. Amenities include a 25-meter outdoor pool with wading area and bath house, a playground, pavilions, basketball courts and a skate park.",,,38.6293216,-77.3107698
Verified,Birthright,Medical and Healthcare,,703-583-1178 or 800-550-4900,"4207 Dale Boulevard, Woodbridge VA 22193",https://www.birthrightofwoodbridge.org/services,"Offering a variety of services including a free pregnancy test and more:
-Free pregnancy testing
-Alternatives to abortion
-Friendship and confidential emotional support
-Help in finding appropriate community resources
-Prenatal care, housing, and adoption referrals
-Help in making a workable plan
-Maternity and infant clothing and diapers
24/7 Helpline: 1-800-550-4900
If you are facing an unplanned pregnancy, you may be struggling with a number of difficult decisions. Whether you or someone you know is considering abortion or looking for alternatives to abortion, please contact Birthright of Woodbridge. 

We will not pressure you. We believe in creating a non-judgmental atmosphere to help women who are going through a pregnancy crisis.","Tuesday-Thursday: 10:00am-4:00pm
Friday: 10:00am-1:00pm
Saturday 10:00am-12:00pm
or anytime for an appointment by calling 703-583-1178
Sunday and Monday: Closed",,38.64385770000000,-77.33785640000000
Verified,Birthright of Woodbridge,Clothing,,703-583-1178 or 800-550-4900,"4207 Dale Boulevard, Woodbridge VA 22193",https://www.birthrightofwoodbridge.org/services,"Offering a variety of services including a free pregnancy test and more:
-Free pregnancy testing
-Alternatives to abortion
-Friendship and confidential emotional support
-Help in finding appropriate community resources
-Prenatal care, housing, and adoption referrals
-Help in making a workable plan
-Maternity and infant clothing and diapers
24/7 Helpline: 1-800-550-4900
If you are facing an unplanned pregnancy, you may be struggling with a number of difficult decisions. Whether you or someone you know is considering abortion or looking for alternatives to abortion, please contact Birthright of Woodbridge. 

We will not pressure you. We believe in creating a non-judgmental atmosphere to help women who are going through a pregnancy crisis.","Tuesday-Thursday: 10:00am-4:00pm
Friday: 10:00am-1:00pm
Saturday 10:00am-12:00pm
or anytime for an appointment by calling 703-583-1178
Sunday and Monday: Closed",,38.6438578,-77.33785640000000
Verified,Boys and Girls Club (General Heiser Club),Family,operations@bgcgw.org,"(703) 441-0611,","17565 Old Stage Coach Road, Dumfries, VA 22026",https://bgcgw.org/clubs/general-heiser-club/,"We serve kids and teens through an adopted strategy created by our National Headquarters to ensure Academic Success, Good Character and Citizenship, and Healthy Lifestyles.","General Membership Hours:
Monday – Friday:  2:00 PM – 8:00 PM

Daycare Hours:
Monday – Friday
Before Care:  6:00 AM – 9:30 AM
After Care:  2:30 PM – 6:00 PM

Summer Hours:
Monday – Friday:  6:00 AM – 6:00 PM",,38.5710442,-77.3171491
Verified,Boys and Girls Club (Hylton Club),Family,operations@bgcgw.org,(703) 670-3311,"5070 Dale Boulevard, Woodbridge, VA 22193",https://bgcgw.org/clubs/hylton-club/,"We serve kids and teens through an adopted strategy created by our National Headquarters to ensure Academic Success, Good Character and Citizenship, and Healthy Lifestyles.","School Year Hours:
Tuesday – Friday: 3 PM – 8 PM

Summer Hours:
Monday – Friday: 6 AM – 6:00 PM",,38.6609623,-77.36054470000000
Verified,Boys and Girls Club (Martin K. Alloy Club of Manassas),Family,operations@bgcgw.org,(703) 365-2582,"9501 Dean Park Lane, Manassas, VA 20110",https://bgcgw.org/clubs/the-martin-k-alloy-boys-girls-club-of-manassas/,"We serve kids and teens through an adopted strategy created by our National Headquarters to ensure Academic Success, Good Character and Citizenship, and Healthy Lifestyles.","General Membership Hours:
Monday–Friday: 2:00 PM–8:00 PM

Daycare Hours:
Monday – Friday
Before Care: 6:00 AM – 9:00 AM
After Care: 2:30 PM – 6:30 PM

Summer Hours:
Monday–Friday: 6:00 AM – 6:00 PM

Follow us on:
Facebook: mkabgcmanassas
Instagram: alloybgc",,38.743018,-77.4913802
Verified,BrightView,Mental Health Substance Use,,888-501-9865,"4899 Prince William Parkway, Woodbridge, VA 22192",www.brightviewhealth.com,"When you or someone you know faces addiction, it can be challenging to know what to do. The most important step of the process is getting into treatment. At BrightView, we offer a variety of addiction treatment programs and services to fit each person’s unique needs.

We offer programs for drug addiction and programs for alcohol addiction, including personalized outpatient options. Our comprehensive treatment programs for addiction recovery are evidence-based and tailored to your needs.

If you’re unsure which addiction recovery programs are right for you or a loved one, our addiction treatment services team can help. Contact our team today at 888.501.9865.","Monday8:30 am-5:00 pm
Tuesday8:30 am-5:00 pm
Wednesday8:30 am-5:00 pm
Thursday8:30 am-5:00 pm
Friday8:30 am-5:00 pm
SaturdayClosed
SundayClosed",,38.6781499,-77.3550099
Verified,Bull Run Library,Education Services,,703-792-4500,"8051 Ashton Ave, Manassas, VA 20109",www.pwcva.gov/library,,"Sunday	1:00 PM - 5:00 PM
Monday	10:00 AM - 8:00 PM
Tuesday	10:00 AM - 8:00 PM
Wednesday	10:00 AM - 5:00 PM
Thursday	10:00 AM - 5:00 PM
Friday	10:00 AM - 5:00 PM
Saturday	10:00 AM - 5:00 PM",,38.7869058,-77.52055780000000
Verified,Bull Run Unitarian Universalists,Housing Utilities Finances,office@bruu.org,703-361-6269,"9350 Main St, Manassas, VA 20110",http://www.bruu.org/,"The Bull Run Unitarian Universalists’ facility is the perfect setting for special personal or business events – both large and small. The building offers a spacious sanctuary, many classrooms, and a large meeting/dining hall with an adjoining kitchen. Located on the corner of Church and Main Streets in the heart of historic Old Town, Manassas, the structure is both charming and convenient. Built in the late 1920’s, the building’s stately facade is red brick.

- Inside the double front doors, the large, airy sanctuary features stained glass windows and wood pews that seat up to 230, including the balcony.
- Downstairs, the meeting room/dining hall seats 120 and has an adjoining kitchen.
- Throughout the building are multipurpose rooms of various sizes, available for small group meetings or training sessions.
To apply for rental of any BRUU resource, please contact us at office@bruu.org or (703) 361-6269 and make an appointment between 10:00am-2:00pm on Monday-Friday.",Make an appointment between 10:00am-2:00pm on Monday-Friday.,,38.7516535,-77.4720346
Verified,Canterbury Woods Community Center,Community and Recreation Centers,,(703) 491-2154,"12184 Chaucer Ln, Lake Ridge, VA 22192",http://www.lakeridgeva.com/page/299~61272/Amenities,"Canterbury Woods Community Center is a welcoming hub for residents of Woodbridge, VA, offering a variety of amenities and activities for community members to enjoy.

With a focus on fostering a sense of belonging and connection, the center provides a space for individuals to socialize, engage in recreational pursuits, and participate in community events.",,,38.6856148,-77.324721
Verified,Capital Area Food Bank,Food,,(571) 482-4770,"6833 Hill Park Drive, Lorton, VA 22079",https://www.capitalareafoodbank.org/,"The Capital Area Food Bank is the anchor of the hunger relief infrastructure in our region, providing more than 60 million meals to people in communities across D.C., Maryland, and Virginia. But we don’t stop there, because we know that creating long term solutions to hunger requires more than meals. It requires education, training, and opportunity. In short, it demands ideas that address the big picture. That’s why we’re approaching the problem in multiple ways: providing food for today, and addressing the root causes of hunger by partnering with organizations that provide critical services like job training programs and health care.

Without good food, everything becomes more difficult—including thinking, learning, growing, and staying healthy. Every day, our partners, donors, and volunteers help to change that for thousands of people.",,,38.7411952,-77.1797488
Verified,CASA,Immigrant Support Services,,571.421.2211,"2359 Research Ct, Woodbridge, VA 22192",https://wearecasa.org/virginia/,"CASA has been advocating for legislative change in the Virginia General Assembly since 2014. Throughout that time CASA has advocated and created change within Virginia. In 2020, the organization successfully achieved driving privileges for all, instate tuition for all, increased funding for English-language learners students, and increased the minimum wage. This was all done through an organized community effort and self-advocacy alongside CASA. As the largest immigrant and Latino advocacy organization, CASA continues pushing for justice, serving as a shining example of iconic Virginian Ella Baker: “Give light and people will find the way.”",Monday-Friday: 9:00 am – 5:00 pm,,38.6507241,-77.28434950000000
Verified,CASA,Legal Services,,571.421.2211,"2359 Research Ct, Woodbridge, VA 22192",https://wearecasa.org/virginia/,"CASA has been advocating for legislative change in the Virginia General Assembly since 2014. Throughout that time CASA has advocated and created change within Virginia. In 2020, the organization successfully achieved driving privileges for all, instate tuition for all, increased funding for English-language learners students, and increased the minimum wage. This was all done through an organized community effort and self-advocacy alongside CASA. As the largest immigrant and Latino advocacy organization, CASA continues pushing for justice, serving as a shining example of iconic Virginian Ella Baker: “Give light and people will find the way.”",Monday-Friday: 9:00 am – 5:00 pm,,38.6507242,-77.28434950000000
Verified,CASA,Education Services,,571.421.2211,"2359 Research Ct, Woodbridge, VA 22192",https://wearecasa.org/virginia/,"CASA has been advocating for legislative change in the Virginia General Assembly since 2014. Throughout that time CASA has advocated and created change within Virginia. In 2020, the organization successfully achieved driving privileges for all, instate tuition for all, increased funding for English-language learners students, and increased the minimum wage. This was all done through an organized community effort and self-advocacy alongside CASA. As the largest immigrant and Latino advocacy organization, CASA continues pushing for justice, serving as a shining example of iconic Virginian Ella Baker: “Give light and people will find the way.”",Monday-Friday: 9:00 am – 5:00 pm,,38.6507240,-77.28434950000000
Verified,CASA,Medical and Healthcare,,571.421.2211,"2359 Research Ct, Woodbridge, VA 22192",https://wearecasa.org/virginia/,"CASA has been advocating for legislative change in the Virginia General Assembly since 2014. Throughout that time CASA has advocated and created change within Virginia. In 2020, the organization successfully achieved driving privileges for all, instate tuition for all, increased funding for English-language learners students, and increased the minimum wage. This was all done through an organized community effort and self-advocacy alongside CASA. As the largest immigrant and Latino advocacy organization, CASA continues pushing for justice, serving as a shining example of iconic Virginian Ella Baker: “Give light and people will find the way.”",Monday-Friday: 9:00 am – 5:00 pm,,38.6507243,-77.28434950000000
Verified,Casa BruMar Foundation,LGBTQ,secretary@casabrumarfoundation.org,,"PO Box 953 Gainesville, Virginia 20156-0953",casabrumarfoundation.org,"To bridge the gap that leaves the LGBTQ+ community behind when it comes to equality that is equitable in education, social services, and human dignity in the Commonwealth of Virginia.

Casa BruMar Foundations charitable purposes are to provide a physical meeting space  and community social services to at risk and disadvantaged individuals experiencing homelessness, abandonment, and cruelty, especially members of the Lesbian, Gay, Bisexual, Transgender, and Queer (“LGBTQ+”) community.

Among Casa BruMar Foundations educational purposes are the encouragement and support of members of the LGBTQ+ community in their academic endeavors as they heal and rebuild after traumatic life changing experiences.

Casa BruMar Foundation achieves our mission by: (1) identifying at-risk individuals and providing them with services that will enhance the healing process; (2) reaching out to at-risk youth through school counselors and social service programs and providing them with structured experiences designed to build self-esteem, life-skills, and real world job experiences; (3) traveling to locations where at-risk members of the LGBTQ+ community may be found and providing community support, referrals, and care;  (4) establishing relationships with schools, religious and ethical institutions; police, other government officials, elected officials, health officials, community leaders, businesses and  legal professionals, to create ways for LGBTQ+ youth and young adults, who have had to flee abusive situations, leaving them homeless and precariously housed, to access essentials including food, clothing, hygiene products, and school supplies; (5) Casa BruMar Foundation fulfills its purposes through programs that lift the spirits of those in need, allowing them to move forward from the negative experiences that they have had; and (6) Casa BruMar Foundation plans activities that educate family and friends of members of the LGBTQ+ community in prevention of domestic violence, and what they can do to help; and (7) Casa BruMar Foundation celebrates the LGBTQ+ community and offers a safe gathering space for all members of the LGBTQ+ community.",,"Primarily provides resource information and support to LGBTQIA+ individuals, particularly youth. Conducts trainings for police and others, has a scholarship program for youth",38.7956706,-77.6138802
Verified,"Catholic Charities, Diocese of Arlington",Food,info@ccda.net,703-548-4227,"200 North Glebe Road Suite 250, Arlington, VA 22203","https://www.ccda.net/find-food,-housing,-and-clothing/","We are here to assist you with food, shelter and clothing through our St. Lucy Food Project, St. Margaret of Cortona Family Transitional Housing, Christ House Men’s Transitional Housing, and the Christ House Thrift Shop.",,,38.8721356,-77.1036183
Verified,"Catholic Charities, Diocese of Arlington",Clothing,info@ccda.net,703-548-4227,"200 North Glebe Road Suite 250, Arlington, VA 22203","https://www.ccda.net/find-food,-housing,-and-clothing/","We are here to assist you with food, shelter and clothing through our St. Lucy Food Project, St. Margaret of Cortona Family Transitional Housing, Christ House Men’s Transitional Housing, and the Christ House Thrift Shop.",,,38.87213561,-77.1036183
Verified,"Catholic Charities, Diocese of Arlington",Parenting,info@ccda.net,703-548-4227,"200 North Glebe Road Suite 250, Arlington, VA 22203",https://www.ccda.net/need-help/pregnancy-and-adoption-services/,"Licensed. Ethical. Reputable. Since 1947, Pregnancy and Adoption Support has served communities in Northern Virginia and Surrounding areas. We are committed to providing transformative services to individuals, couples and families whose lives are impacted by unplanned pregnancy, parenting in a crisis situation and/or whose lives have been touched by adoption.",,,38.87213562,-77.1036183
Verified,"Catholic Charities, Diocese of Arlington",Housing Utilities Finances,info@ccda.net,703-548-4227,"200 North Glebe Road Suite 250, Arlington, VA 22203","https://www.ccda.net/need-help/rent,-utility-assistance,-and-basic-household-needs/","Catholic Charities provides housing, workforce development and other services to single men, and to pregnant women and single mothers with children to help them move from homelessness toward stable lives. ",,,38.87213563,-77.1036183
Verified,"Catholic Charities, Diocese of Arlington",Housing Utilities Finances,info@ccda.net,703-548-4227,"200 North Glebe Road Suite 250, Arlington, VA 22203",https://www.ccda.net/need-help/housing/,"Catholic Charities Emergency Assistance program provides help with rent, utilities and car repair to residents of the Diocese of Arlington who are facing a temporary financial emergency. ",,,38.87213564,-77.1036183
Verified,"Catholic Charities, Diocese of Arlington",Immigrant Support Services,info@ccda.net,703-548-4227,"200 North Glebe Road Suite 250, Arlington, VA 22203",https://www.ccda.net/need-help/immigrants-and-refugees/,"Catholic Charities helps newcomers become self-sufficient and productive members of American society by offering a combination of legal immigration consultation and representation, English-language instruction, other adult education programs, workforce development training, naturalization assistance, bilingual community education, and refugee resettlement and assistance services.",,,38.87213565,-77.1036183
Verified,"Catholic Charities, Diocese of Arlington",Education Services,info@ccda.net,703-548-4227,"200 North Glebe Road Suite 250, Arlington, VA 22203","https://www.ccda.net/need-help/education,-job-prep,-and-training/","We offer a variety of workforce development programs including; Job Readiness, Financial Literacy training, and Immigrant and Refugee Training and Employment.",,,38.87213566,-77.1036183
Verified,"Catholic Charities, Diocese of Arlington",Medical and Healthcare,info@ccda.net,703-548-4227,"200 North Glebe Road Suite 250, Arlington, VA 22203","https://www.ccda.net/need-help/adoption,-medical,-and-counseling/",We offer accessible and transformational healthcare services integrated with the Catholic faith to the vulnerable in our Diocese.,,,38.87213567,-77.1036183
